Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier Part Number

"Cap Pol3","Polarized Capacitor (Surface Mount)","C1, C5, C9, C11","C1206","Cap Pol3","4","1276-1055-1-ND"
"1uF","Capacitor (Semiconductor SIM Model)","C2, C4, C10","C1206","Cap Semi","3","1276-3086-1-ND"
"Cap Semi","Capacitor (Semiconductor SIM Model)","C3, C6, C7, C8","C1206","Cap Semi","4","1276-1151-1-ND"
"Red","Typical RED, GREEN, YELLOW, AMBER GaAs LED","D1","3.2X1.6X1.1","LED2","1","732-4992-1-ND"
"Green","Typical RED, GREEN, YELLOW, AMBER GaAs LED","D2","3.2X1.6X1.1","LED2","1","732-4993-1-ND"
"Yellow","Typical RED, GREEN, YELLOW, AMBER GaAs LED","D3, D5, D6, D7","3.2X1.6X1.1","LED2","4","732-4994-1-ND"
"Diode","Default Diode","D4","SMC","Diode","1","SS1P3L-M3/84AGICT-ND"
"Fuse 2","Fuse","F1","1812","Fuse 2","1","?MF-MSMF050-2CT-ND"
"USB micro B","CONN SM TH USB MICRO MODIFIED FOR DRILL","J1","1050170001","1050170001","1","609-4618-1-ND"
"ICSP","Header, 3-Pin, Dual row","P1","HDR2X3_CEN","Header 3X2A","1",""
"Serial","Header, 2-Pin","P2","HDR1X2","Header 2","1",""
"1K","Resistor","R1, R2, R3, R4, R5, R7, R10, R11, R12","C1206","Res1","9","RMCF1206FT1K00CT-ND"
"16.9K","Resistor","R6","C1206","Res1","1","RMCF1206FT16K9CT-ND"
"120","Resistor","R8","C1206","Res1","1",""
"10K","Resistor","R9","C1206","Res1","1","RNCP1206FTD10K0CT-ND"
"SW-PB","Switch","S1","C1206","SW-PB","1","CKN10779CT-ND"
"ATmega328P-AU","8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)","U1","32A_N","ATmega328P-AU","1","ATMEGA328P-AU-ND"
"LM1117IMPX-5.0","800mA Low-Dropout Linear Regulator, 4-pin SOT-223","U2","MP04A_N","LM1117IMPX-5.0","1","296-21114-1-ND"
"MCP2551-E/SN","SOIC","U3","SOIC127P600X175-8M","MCP2551-E/SN","1","MCP2551T-E/SNCT-ND"
"FT232RL-Reel","USB UART Asynchronous Serial Data Transfer Chip, SSOP-28, Tape and Reel","U4","SSOP-28_N","FT232RL-Reel","1","768-1007-1-ND"
"MCP2515-E/ST","SOIC","U5","SOIC127P1030X265-18M","MCP2515-E/ST","1","MCP2515T-I/SOCT-ND"
"CSTCE16M0V53-R0","","Y1, Y2","CSTCE16M0V53-R0","CSTCE16M0V53-R0","2","490-17948-1-ND"
